date,btc_close,macro_gate,price_gate,sent_gate,fed_delta,dm_m2_yoy,dxy,real_yld,etf_3d,funding,btc_50d,btc_200d,fitted_price,beta_dm2,beta_dxy,beta_real,beta_etf,beta_gm2,intercept,refit_date,refit_r2,refit_n,m2_stale_days,etf_3d_stale,row_hash
2025-09-01,107526.0,0,0,0,-15031.0,0.04822258,,1.81,,,114120.46,100615.6465,,,,,,,,,,,63,1,b1358571a20f
2025-09-02,111194.0,0,0,0,-15031.0,0.04822258,,1.82,,,114227.94,100680.906,,,,,,,,,,,64,1,d7cb60178895
2025-09-03,112011.0,0,0,0,-15031.0,0.04822258,,1.87,,,114314.7,100745.033,,,,,,,,,,,65,1,448a14315ae4
2025-09-04,110567.0,0,0,0,-1313.0,0.04822258,,1.82,,,114384.38,100826.116,,,,,,,,,,,66,1,1a7d7943b365
2025-09-05,111683.0,0,0,0,-1313.0,0.04822258,97.768,1.79,,,114479.48,100925.5315,,,,,,,,,,,69,1,4b14cce9244b
2025-09-08,112284.0,0,0,0,-1313.0,0.04822258,,1.73,,,114581.7,101006.289,,,,,,,,,,,70,1,10702b2dac98
2025-09-09,111304.0,0,0,0,-1313.0,0.04822258,,1.7,,,114692.9,101084.8755,,,,,,,,,,,71,1,e16cfb76dcf9
2025-09-10,113850.0,0,0,0,-1313.0,0.04822258,,1.72,,,114780.34,101167.3465,,,,,,,,,,,72,1,f5e4c9b95472
2025-09-11,114563.0,0,0,0,3891.0,0.04822258,,1.69,,,114874.9,101263.276,,,,,,,,,,,73,1,232c59c53524
2025-09-12,116612.0,0,1,0,3891.0,0.04822258,97.55,1.67,,,115056.98,101365.461,,,,,,,,,,,76,1,915bd9c115bb
2025-09-15,115535.0,0,1,0,3891.0,0.04822258,,1.7,,,115203.26,101451.5715,,,,,,,,,,,77,1,9be0b030c993
2025-09-16,116834.0,0,1,0,3891.0,0.04822258,,1.68,,,115362.48,101552.187,,,,,,,,,,,78,1,600256176a16
2025-09-17,116060.0,0,1,0,3891.0,0.04822258,,1.67,,,115466.8,101624.967,,,,,,,,,,,79,1,c0d103d96fa0
2025-09-18,117434.0,0,1,0,2635.0,0.04822258,,1.68,,,115486.56,101727.351,,,,,,,,,,,80,1,5556730d9d62
2025-09-19,115210.0,0,0,0,2635.0,0.04822258,97.644,1.73,,,115428.66,101818.525,,,,,,,,,,,83,1,3fea0efdedb1
2025-09-22,112985.0,0,0,0,2635.0,0.04822258,,1.75,,,115287.66,101877.19,,,,,,,,,,,84,1,2c160b434960
2025-09-23,112223.0,0,0,0,2635.0,0.04767929,,1.78,,,115182.44,101936.29,,,,,,,,,,,54,1,1f9d4a78697d
2025-09-24,113558.0,0,0,0,2635.0,0.04767929,,1.75,,,115066.58,101995.895,,,,,,,,,,,55,1,0fbcad83e050
2025-09-25,109519.0,0,0,0,-202.0,0.04767929,,1.78,,,114847.26,102013.515,,,,,,,,,,,56,1,dee65ba253cf
2025-09-26,109223.0,0,0,0,-202.0,0.04767929,98.152,1.8,,,114681.94,102029.46,,,,,,,,,,,59,1,54a0aa66075d
2025-09-29,114309.0,0,0,0,-202.0,0.04767929,97.906,1.82,,,114622.64,102095.455,,,,,,,,,,,60,1,3be857789610
2025-09-30,114374.0,0,0,0,-202.0,0.04767929,97.775,1.8,,,114520.6,102176.024,,,,,,,,,,,61,1,592c8d7fb463
2025-10-01,117552.0,0,1,0,-202.0,0.04767929,,1.8,,,114506.4,102281.007,,,,,,,,,,,62,1,3486631c15e2
2025-10-02,120279.0,0,1,0,-21276.0,0.04767929,,1.77,,,114541.72,102407.578,,,,,,,,,,,63,1,a1bd61b51ce8
2025-10-03,122679.0,0,1,0,-21276.0,0.04767929,97.723,1.76,,,114659.48,102527.2785,,,,,,,,,,,66,1,faba729dfcf4
2025-10-06,125030.0,0,1,0,-21276.0,0.04767929,,1.8,,,114797.72,102673.8865,,,,,,,,,,,67,1,5fb8b9878586
2025-10-07,121927.0,0,1,0,-21276.0,0.04767929,,1.84,,,114887.16,102811.7365,,,,,,,,,,,68,1,2101d6c23dfa
2025-10-08,123235.0,0,1,0,-21276.0,0.04767929,,1.79,,,115009.04,102965.7245,,,,,,,,,,,69,1,6550861888cf
2025-10-09,121543.0,0,1,0,3696.0,0.04767929,,1.78,,,115110.74,103107.296,,,,,,,,,,,70,1,fa73316d07f0
2025-10-10,116781.0,0,1,0,3696.0,0.04767929,98.978,1.8,,,115180.38,103207.0915,,,,,,,,,,,73,1,f777499c3c85
2025-10-13,115789.0,0,1,0,3696.0,0.04767929,,1.8,,,115194.06,103294.5205,,,,,,,,,,,74,1,9376bd2fb628
2025-10-14,113143.0,0,0,0,3696.0,0.04767929,,1.75,,,115185.1,103350.1055,,,,,,,,,,,75,1,826a2cafcae1
2025-10-15,110900.0,0,0,0,3696.0,0.04767929,,1.73,,,115102.5,103419.2265,,,,,,,,,,,76,1,45ff021eff79
2025-10-16,108438.0,0,0,0,5639.0,0.04767929,,1.76,,,114927.94,103485.0385,,,,,,,,,,,77,1,6e8ec721f037
2025-10-17,106480.0,0,0,0,5639.0,0.04767929,98.433,1.71,,,114728.86,103555.35,,,,,,,,,,,80,1,644d894b76ac
2025-10-20,110585.0,0,0,0,5639.0,0.04767929,98.586,1.75,,,114566.08,103635.1935,,,,,,,,,,,81,1,1636de23c502
2025-10-21,110893.0,0,0,0,5639.0,0.04767929,,1.74,,,114386.32,103717.964,,,,,,,,,,,82,1,83c774b0446f
